label,market,order_region,shipping_mode,category_name,order_month,order_day_of_week
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,2,7
1,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,5
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,4
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,3
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,6
1,Pacific Asia,Eastern Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,Eastern Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,3
1,Pacific Asia,Eastern Asia,First Class,Sporting Goods,1,2
0,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,6
1,Pacific Asia,Southeast Asia,Second Class,Sporting Goods,1,5
1,Pacific Asia,Southeast Asia,Second Class,Sporting Goods,1,4
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,Eastern Asia,Second Class,Sporting Goods,1,5
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,2
0,Pacific Asia,South Asia,Same Day,Sporting Goods,1,7
0,Pacific Asia,South Asia,Same Day,Sporting Goods,1,7
1,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,5
1,Pacific Asia,Oceania,Second Class,Sporting Goods,1,4
0,Pacific Asia,Oceania,Second Class,Sporting Goods,1,3
0,Pacific Asia,Oceania,Second Class,Sporting Goods,1,2
1,Pacific Asia,Oceania,Second Class,Sporting Goods,1,6
1,Pacific Asia,Oceania,Second Class,Sporting Goods,1,5
0,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,4
0,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,3
0,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,2
1,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,6
1,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,5
0,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,4
1,Pacific Asia,Eastern Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,Eastern Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,Southeast Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,South Asia,First Class,Sporting Goods,1,2
1,Pacific Asia,Oceania,First Class,Sporting Goods,1,1
1,Pacific Asia,Oceania,Same Day,Sporting Goods,1,7
0,Pacific Asia,Oceania,Same Day,Sporting Goods,1,7
1,Pacific Asia,Southeast Asia,Same Day,Sporting Goods,1,7
1,Pacific Asia,Southeast Asia,Same Day,Sporting Goods,1,7
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,3
0,Pacific Asia,Southeast Asia,Standard Class,Sporting Goods,1,2
0,Pacific Asia,Oceania,Standard Class,Sporting Goods,1,1
1,Pacific Asia,South Asia,Standard Class,Sporting Goods,1,5
1,Pacific Asia,South Asia,Second Class,Sporting Goods,1,4
0,Pacific Asia,Eastern Asia,Standard Class,Sporting Goods,1,3
1,Pacific Asia,South Asia,Second Class,Cleats,2,2
0,Pacific Asia,West Asia,Second Class,Shop By Sport,10,5
1,Pacific Asia,Oceania,Second Class,Women's Apparel,4,3
0,Pacific Asia,West Asia,Second Class,Shop By Sport,11,3
1,Pacific Asia,Eastern Asia,Second Class,Women's Apparel,12,5
1,Pacific Asia,West Asia,Second Class,Women's Apparel,1,5
1,Pacific Asia,South Asia,Second Class,Women's Apparel,10,7
0,USCA,West of USA ,Second Class,Electronics,6,2
1,USCA,West of USA ,Second Class,Boxing & MMA,8,2
1,USCA,West of USA ,Second Class,Cleats,4,3
1,USCA,US Center ,Second Class,Cleats,5,5
0,Africa,West Africa,Second Class,Cardio Equipment,10,5
1,Africa,Central Africa,Second Class,Shop By Sport,11,1
1,Africa,West Africa,Second Class,Trade-In,11,4
1,Africa,North Africa,Second Class,Electronics,12,3
1,Europe,Western Europe,Second Class,Cardio Equipment,7,6
0,Europe,Western Europe,Second Class,Cardio Equipment,7,2
1,Europe,Western Europe,Second Class,Cardio Equipment,8,1
1,Europe,Western Europe,Second Class,Cleats,9,7
0,Europe,Northern Europe,Second Class,Cleats,7,3
1,Europe,Northern Europe,Second Class,Cleats,9,6
1,Europe,Western Europe,Second Class,Cleats,8,4
0,Europe,Western Europe,Second Class,Women's Apparel,7,2
1,Europe,Northern Europe,Second Class,Shop By Sport,8,3
1,Europe,Western Europe,Second Class,Women's Apparel,9,5
1,Europe,Western Europe,Second Class,Trade-In,7,4
1,LATAM,Central America,Second Class,Cardio Equipment,4,6
1,LATAM,Central America,Second Class,Cleats,4,6
1,LATAM,Central America,Second Class,Cleats,5,3
1,LATAM,Caribbean,Second Class,Cleats,4,5
1,LATAM,South America,Second Class,Cleats,4,5
1,LATAM,South America,Second Class,Cleats,4,5
1,LATAM,Caribbean,Second Class,Cleats,6,6
1,LATAM,South America,Second Class,Cleats,2,4
1,LATAM,Central America,Second Class,Women's Apparel,4,5
1,LATAM,Central America,Second Class,Shop By Sport,4,3
1,LATAM,South America,Second Class,Women's Apparel,4,7
1,LATAM,Caribbean,Second Class,Women's Apparel,4,5
1,LATAM,Central America,Second Class,Women's Apparel,3,4
0,LATAM,Central America,Second Class,Women's Apparel,3,3
1,LATAM,Central America,Second Class,Women's Apparel,2,7
1,LATAM,Central America,Second Class,Women's Apparel,2,7
1,LATAM,Central America,Second Class,Women's Apparel,2,4
1,LATAM,South America,Second Class,Shop By Sport,1,1
1,LATAM,South America,Standard Class,Women's Apparel,3,4
1,LATAM,South America,Standard Class,Shop By Sport,2,2
0,LATAM,South America,Standard Class,Shop By Sport,4,3
0,LATAM,South America,Standard Class,Women's Apparel,4,7
1,LATAM,South America,Standard Class,Women's Apparel,4,4
0,LATAM,Caribbean,Standard Class,Shop By Sport,2,5
0,LATAM,Caribbean,Standard Class,Shop By Sport,4,1
1,LATAM,Caribbean,Standard Class,Women's Apparel,3,5
0,LATAM,Central America,Standard Class,Women's Apparel,2,5
0,LATAM,Central America,Standard Class,Shop By Sport,4,3
0,LATAM,Central America,Standard Class,Women's Apparel,2,4
0,LATAM,South America,Standard Class,Women's Apparel,5,3
0,LATAM,Central America,Standard Class,Shop By Sport,3,1
0,LATAM,South America,Standard Class,Women's Apparel,6,6
0,LATAM,Caribbean,Standard Class,Shop By Sport,1,2
1,LATAM,Central America,Standard Class,Women's Apparel,5,2
